 # Jupiter model, Ptrans=7 Mbar, rock core 
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.9984104337   1.280708   0.97880  2574.6  0.0878504 
 0.9984009080   1.288568   0.97875  2578.6  0.0881429 
 0.9983913517   1.296455   0.97870  2582.5  0.0884357 
 0.9983817646   1.304370   0.97865  2586.4  0.0887286 
 0.9983721468   1.312311   0.97860  2590.3  0.0890217 
 0.9983624983   1.320279   0.97855  2594.2  0.0893119 
 0.9983528198   1.328273   0.97850  2598.0  0.0895972 
 0.9983431114   1.336294   0.97845  2601.8  0.0898826 
 0.9983333731   1.344341   0.97840  2605.6  0.0901681 
 0.9983236049   1.352415   0.97835  2609.3  0.0904538 
 0.9983138068   1.360515   0.97830  2613.1  0.0907396 
 0.9983039788   1.368641   0.97825  2616.9  0.0910255 
 0.9982941208   1.376794   0.97820  2620.6  0.0913115 
 0.9982842330   1.384973   0.97815  2624.4  0.0915977 
 0.9982743152   1.393178   0.97810  2628.1  0.0918840 
 0.9982643675   1.401410   0.97805  2631.9  0.0921704 
 0.9982543898   1.409669   0.97800  2635.6  0.0924569 
 0.9982443822   1.417954   0.97795  2639.4  0.0927436 
 0.9982343446   1.426265   0.97790  2643.1  0.0930304 
 0.9982242771   1.434603   0.97785  2646.8  0.0933173 
 0.9982141795   1.442967   0.97780  2650.5  0.0936043 
 0.9982040520   1.451358   0.97775  2654.3  0.0938915 
 0.9981938945   1.459776   0.97770  2658.0  0.0941788 
 0.9981837070   1.468220   0.97765  2661.7  0.0944662 
 0.9981734895   1.476691   0.97760  2665.4  0.0947537 
 0.9981632420   1.485188   0.97755  2669.1  0.0950414 
 0.9981529645   1.493712   0.97750  2672.8  0.0953291 
 0.9981426569   1.502262   0.97745  2676.5  0.0956170 
 0.9981323193   1.510839   0.97740  2680.2  0.0959051 
